brand_name,property,city,room_type,available_contracts,contract_title,academic_year,price_pw,currency_symbol,available,start_date,end_date,contract_length_weeks,base_hub_url
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,8 Roxburgh - Classic Room - 25/26 - 28/02 - 26wk 2026,2025 / 2026,190,£,True,2026-02-28,2026-08-29,26,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,8 Roxburgh - Classic Room - 26/27 - 05/09 - 44wk 2026,2026 / 2027,225,£,True,2026-09-05,2027-07-10,44,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=44+weeks&academicYear=2026+%2F+2027
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,8 Roxburgh - Classic Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,215,£,True,2026-09-05,2027-08-28,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Homes for Students,8 Roxburgh,Edinburgh,Premium Room,1,8 Roxburgh - Premium Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,225,£,True,2026-09-05,2027-08-28,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Premium+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Homes for Students,8 Roxburgh,Edinburgh,Standard Room,1,8 Roxburgh - Standard Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,210,£,True,2026-09-05,2027-08-28,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Standard+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,800 Bristol Road,Birmingham,Classic Studio,1,800 Bristol Road -Classic Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,0,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Classic+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,800 Bristol Road,Birmingham,Classic Studio Plus,2,800 Bristol Road - Classic Studio Plus - 26/27 - 05/09 - 51wk 2026,2026 / 2027,295,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Classic+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,800 Bristol Road,Birmingham,Classic Studio Plus,2,800 Bristol Road - Classic Studio Plus - 26/27 - 05/09 - 45wk 2026,2026 / 2027,0,£,True,2026-09-05,2027-07-17,45,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Classic+Studio+Plus&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,800 Bristol Road,Birmingham,Premium Studio,1,800 Bristol Road - Premium Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,299,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,800 Bristol Road,Birmingham,Premium Studio Plus,1,800 Bristol Road - Premium Studio Plus - 26/27 - 05/09 - 51wk 2026,2026 / 2027,299,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Premium+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,88 Bromsgrove House,Birmingham,One Bed Apartment,1,88 Bromsgrove House - One Bed Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,335,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=88+Bromsgrove+House&roomType=One+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
